area_fips,own_code,industry_code,year,qtr,qtrly_estabs_count,month1_emplvl,month2_emplvl,month3_emplvl,,total_qtrly_wages,taxable_qtrly_wages,qtrly_contributions,avg_wkly_wage
36097,5,72,1990,4,44,406,326,255,,569777,0,0,133
36099,1,72,1990,1,1,68,72,70,,224155,0,0,246
36099,1,72,1990,2,1,72,77,85,,202511,0,0,200
36099,1,72,1990,3,1,89,90,83,,272851,0,0,240
36099,1,72,1990,4,1,75,81,83,,225543,0,0,218
36099,5,72,1990,1,61,588,593,582,,1127490,0,0,148
36099,5,72,1990,2,60,564,611,669,,1235274,0,0,155
36099,5,72,1990,3,60,666,687,628,,1228947,0,0,143
36099,5,72,1990,4,57,610,584,561,,1158976,0,0,152
36101,5,72,1990,1,195,2138,2243,2285,,4073985,0,0,141
36101,5,72,1990,2,193,2274,2395,2481,,4554880,0,0,147
36101,5,72,1990,3,196,2457,2528,2398,,4958093,0,0,155
36101,5,72,1990,4,191,2280,2258,2253,,4478210,0,0,152
36103,5,72,1990,1,2475,24423,24527,25261,,59404147,0,0,185
36103,5,72,1990,2,2512,26111,28342,30928,,71712072,0,0,194
36103,5,72,1990,3,2520,31218,31214,29682,,81162887,0,0,203
36103,5,72,1990,4,2526,27454,26719,26272,,70984022,0,0,204
36105,5,72,1990,1,289,4167,3897,3858,,9845676,0,0,191
36105,5,72,1990,2,286,4598,4598,5138,,13592668,0,0,219
36105,5,72,1990,3,296,6907,7469,5146,,18396641,0,0,217
36105,5,72,1990,4,289,4773,4360,3659,,13900492,0,0,251
36107,5,72,1990,1,62,625,612,607,,1097632,0,0,137
36107,5,72,1990,2,61,637,679,670,,1205617,0,0,140
36107,5,72,1990,3,61,651,640,687,,1288504,0,0,150
36107,5,72,1990,4,61,667,656,627,,1265405,0,0,150
36109,5,72,1990,1,251,2700,3008,3016,,5660181,0,0,150
36109,5,72,1990,2,251,3137,3198,3085,,6187700,0,0,152
36109,5,72,1990,3,254,3117,3045,3290,,6509567,0,0,159
36109,5,72,1990,4,253,3303,3281,3173,,6661101,0,0,158
36111,5,72,1990,1,415,4653,4784,4925,,12241441,0,0,197
36111,5,72,1990,2,418,5156,5347,5773,,14189956,0,0,201
36111,5,72,1990,3,426,5974,5873,5645,,16043433,0,0,212
36111,5,72,1990,4,424,5345,5080,4713,,13838071,0,0,211
36113,5,72,1990,1,406,3068,3114,2963,,7072513,0,0,178
36113,5,72,1990,2,411,2957,3681,5140,,9356084,0,0,183
36113,5,72,1990,3,412,6531,6636,4670,,15427845,0,0,200
36113,5,72,1990,4,410,3947,3056,2973,,9218246,0,0,213
36115,5,72,1990,1,115,575,577,618,,944777,0,0,123
36115,5,72,1990,2,115,685,718,764,,1171279,0,0,125
36115,5,72,1990,3,112,785,784,729,,1331777,0,0,134
36115,5,72,1990,4,110,629,585,604,,1095785,0,0,139
36117,5,72,1990,1,135,1186,1182,1325,,1922539,0,0,120
